iter	Passed	Remaining
0	1	182
1	28	1399
2	30	986
3	31	764
4	34	649
5	36	573
6	38	510
7	40	461
8	41	421
9	43	392
10	45	365
11	47	345
12	49	328
13	54	335
14	56	322
15	59	310
16	60	297
17	62	285
18	64	273
19	67	271
20	70	263
21	71	255
22	73	246
23	75	238
24	76	230
25	78	222
26	79	215
27	81	208
28	82	202
29	84	196
30	85	190
31	87	185
32	89	180
33	90	176
34	92	171
35	94	167
36	95	162
37	97	159
38	99	155
39	100	151
40	102	147
41	103	142
42	104	138
43	105	134
44	106	130
45	108	126
46	109	123
47	111	120
48	112	117
49	114	114
50	115	111
51	117	108
52	118	105
53	119	102
54	120	98
55	121	95
56	123	93
57	125	90
58	127	88
59	128	85
60	130	83
61	131	80
62	133	78
63	134	75
64	136	73
65	137	71
66	139	68
67	140	65
68	142	63
69	143	61
70	145	59
71	147	57
72	148	55
73	149	52
74	151	50
75	153	48
76	155	46
77	156	44
78	158	42
79	160	40
80	161	37
81	163	35
82	164	33
83	166	31
84	167	29
85	169	27
86	171	25
87	173	23
88	175	21
89	177	19
90	179	17
91	181	15
92	182	13
93	184	11
94	186	9
95	187	7
96	189	5
97	191	3
98	193	1
99	195	0
